;Proposições;Autor;Apresentaç
384;PL 4703/2016;Efraim Filho - DEM/PB;10/03/2016
385;PL 7705/2010;Paulo Bornhausen - DEM/SC;04/08/2010
386;PL 2906/2019;José Medeiros - PODE/MT;15/05/2019
387;PL 6123/2013;Sandra Rosado - PSB/RN;16/08/2013
388;PL 10504/2018;Carlos Sampaio - PSDB/SP;03/07/2018
389;PL 666/2020;Helder Salomão - PT/ES;17/03/2020
390;PL 2342/2020;Gervásio Maia - PSB/PB;04/05/2020
391;PL 1321/2020;"Enio Verri - PT/PR; Joseildo Ramos - PT/BA; Helder Salomão - PT/ES e outros";31/03/2020
392;PL 7751/2010;Senado Federal - Adelmir Santana - DEM/DF;13/08/2010
393;PL 3069/2011;Roberto de Lucena - PV/SP;21/12/2011
394;PL 7992/2014;Mara Gabrilli - PSDB/SP;25/09/2014
395;PL 2216/2011;Jesus Rodrigues - PT/PI;01/09/2011
396;PL 1087/2015;Cabo Sabino - PR/CE;09/04/2015
397;PL 5741/2019;Daniel Silveira - PSL/RJ;30/10/2019
398;PL 7909/2010;Moreira Mendes - PPS/RO;17/11/2010
399;PL 3566/2020;André de Paula - PSD/PE;30/06/2020
400;PL 667/2020;André Fufuca - PP/MA;17/03/2020
401;PL 2732/2011;Arnaldo Jardim - PPS/SP;17/11/2011
402;PL 699/2011;Arnaldo Faria de Sá - PTB/SP;15/03/2011
403;PL 949/2011;Raimundo Gomes de Matos - PSDB/CE;06/04/2011
404;PEC 249/2013;Vanderlei Macris - PSDB/SP;19/03/2013
405;PL 1811/2020;Rosangela Gomes - REPUBLIC/RJ;13/04/2020
406;PL 1862/2020;Erika Kokay - PT/DF;14/04/2020
407;PL 902/2011;Geraldo Resende - PMDB/MS;05/04/2011
408;PL 1159/2020;Flávio Nogueira - PDT/PI;27/03/2020
409;PL 3144/2020;Joice Hasselmann - PSL/SP;04/06/2020
410;PL 9077/2017;Francisco Floriano - DEM/RJ;09/11/2017
411;PL 649/2020;"Sanderson - PSL/RS; Bibo Nunes - PSL/RS; Major Fabiana - PSL/RJ e outros";17/03/2020
412;PL 3312/2019;Lauriete - PL/ES;04/06/2019
413;PL 1959/2020;Erika Kokay - PT/DF;16/04/2020
414;PL 11053/2018;Carlos Henrique Gaguim - DEM/TO;27/11/2018
415;PL 2685/2020;Jéssica Sales - MDB/AC;14/05/2020
416;PL 3871/2019;Lauriete - PL/ES;03/07/2019
417;PL 5297/2019;Lauriete - PL/ES;01/10/2019
418;PL 2693/2019;Lafayette de Andrada - PRB/MG;08/05/2019
419;PL 2566/2020;Capitão Alberto Neto - REPUBLIC/AM;12/05/2020
420;PL 853/2019;Sâmia Bomfim - PSOL/SP;19/02/2019
421;PL 5304/2013;"Vanderlei Siraque - PT/SP;Janete Rocha Pietá - PT/SP";03/04/2013
422;PL 6969/2013;"Sarney Filho - PV/MA;Alessandro Molon - PSB/RJ";17/12/2013
423;PL 7004/2017;"Weliton Prado - PMB/MG;Ricardo Izar - PP/SP";22/02/2017
424;PL 7020/2017;Rogério Peninha Mendonça - PMDB/SC;07/03/2017
425;PL 5745/2016;Felipe Bornier - PROS/RJ;05/07/2016
426;PL 2083/2019;Pastor Sargento Isidório - AVANTE/BA;04/04/2019
427;PL 5251/2016;Vitor Valim - PMDB/CE;11/05/2016
428;PL 3433/2019;Léo Moraes - PODE/RO;11/06/2019
429;PL 2699/2020;"Fernanda Melchionna - PSOL/RS; Marcelo Freixo - PSOL/RJ; David Miranda - PSOL/RJ e outros";15/05/2020
430;PL 2829/2020;Dr. Jaziel - PL/CE;21/05/2020
431;PL 5877/2019;Poder Executivo;05/11/2019
432;PL 5798/2019;Paulo Ramos - PDT/RJ;31/10/2019
433;PL 7633/2014;Jean Wyllys - PSOL/RJ;29/05/2014
434;PL 2653/2020;Luizão Goulart - REPUBLIC/PR;14/05/2020
435;PL 6980/2013;Sueli Vidigal - PDT/ES;17/12/2013
436;PL 6161/2019;Poder Executivo;26/11/2019
437;PEC 93/2011;Reginaldo Lopes - PT/MG;10/10/2011
438;PEC 41/2011;Carlos Sampaio - PSDB/SP;15/06/2011
439;PEC 22/2011;Valtenir Pereira - PSB/MT;04/05/2011
440;PEC 431/2014;Subtenente Gonzaga - PDT/MG;29/10/2014
441;PEC 390/2014;André Figueiredo - PDT/CE;26/03/2014
442;PEC 329/2013;Francisco Praciano - PT/AM;17/10/2013
443;PEC 423/2014;Jorginho Mello - PR/SC;06/08/2014
444;PEC 287/2016;Poder Executivo;05/12/2016
445;PEC 383/2017;Danilo Cabral - PSB/PE;09/11/2017
446;PEC 273/2016;Subtenente Gonzaga - PDT/MG;26/10/2016
447;PEC 348/2017;Flávia Morais - PDT/GO;13/07/2017
448;PEC 157/2015;Domingos Sávio - PSDB/MG;15/10/2015
449;PEC 360/2017;Luis Tibé - PTdoB/MG;20/09/2017
450;PL 2668/2020;"Fernanda Melchionna - PSOL/RS; Sâmia Bomfim - PSOL/SP; Edmilson Rodrigues - PSOL/PA e outros";14/05/2020
